Paper,Number of patients in dataset,Pre training dataset,Model,Model input,Model output,Results,Limitations,Framework,Preprocessing and data augmentation,Variability in results,Dataset availability
Zhao et al. (2024),1654,Not specified,encoder-decoder prediction head,2D TVUS,Classification,accuracy 92.33% & precision 96.06% & recall 91.71% & F1-score 93.80%,Using static images instead of dynamic,Pytorch,–,no,–
Raimondo et al. (2023),100,Microsoft Common Objects,VGG13 & VGG19 & ResNet18 & ResNet34,2D TVUS images extracted from video clips,Classification,accuracy 51% & F1 score 46%,Small sample size & monocentric,–,Random horizontal flips & vertical flips & Gaussian blur,yes,yes*
Tank et al. (2025),124,–,U-Net & nnU-Net,2D TVUS,Segmentation,Dice score nnU-Net: 0.9689 & Dice score U-Net: 0.7710,Small sample size & monocentric,Pytorch,Image padding & CLAHE (clip limit 1) & Gaussian blur (kernel size 5) & augmentation: 5-degree rotation (p=0.3),yes,yes*
Bones et al. (2024),298,Swin pretrained on CT data,nnU-Net & Swin UNETR,3D TVUS,Segmentation,Dice similarity coefficient: 0.863 (external hospital data),–,–,Preprocessing handled automatically in nnU-Net,no,yes
Zhao et al. (2023),4401,ImageNet,VGG16 & InceptionV3 & ResNet50 & ResNet101,2D cross-sectional images from 3D TVUS,Classification,VGG16 best F1: 91.0% & precision lower than InceptionV3 (90.0% vs 95.3%),Not using full 3D TVUS,TensorFlow and PyTorch (better in PyTorch),Cropping & resizing & normalization & flip & grayscale & saturation & rotation,no,–
Liu et al. (2022),467,ImageNet,SegNet-ResNet50,2D TVUS,Segmentation,Dice: 0.81 & measurement accuracy (±3mm): 89.3%,Monocentric,TensorFlow–Keras,–,no,yes*
Peng et al. (2024),229,–,student-teacher (Mamba + BCP-Net),2D TVUS,Segmentation,Dice: 0.8655,Small sample size & monocentric,–,–,yes,yes*
Deslandes et al. (2025),50,ImageNet,Multiaxis Vision Transformer (MaxViT),2D TVUS,Classification,validation accuracy 80% &  macro recall 77%,Small sample size,–,AutoAugment,no,no
Maicas et al. (2021),749,Kinetics-400,ResNet (2+1)D,2D dynamic TVUS videos,Classification,specificity 90% (threshold 0.9) &  accuracy 88.8%,Annotation by only two expert sonologists,PyTorch,Videos normalized to 40 frames & 112×112 pixels,yes,–
He et al. (2024),1555,ImageNet-1K,ResNet & DenseNet & Vision Transformer & Swin Transformer,2D TVUS,Classification,AUC: ResNet 0.91 & DenseNet 0.91 & Swin 0.92 & ViT 0.87,CNNs limited in capturing long-range dependencies,PyTorch,Crop & resize & remove calipers,yes,yes*
Capasso et al. (2024),302,–,nnU-Net,2D TVUS,Segmentation,Dice 0.79 and 0.78 vs expert readers,Ethnic minorities not represented,–,–,yes,yes*
Li et al. (2021),75,–,partial differential algorithm + HSegNet,3D TVUS,Segmentation,accuracy 97.14% & sensitivity 96.6% & specificity 72%,Small sample size,–,Image enhancement using differential equation to address fuzzy shadow,no,yes*
